component,current_path,disposition,canonical_destination,dependencies,migration_timing,deletion_eligible,governing_kfl,related_adr,validation
API Server,apps/api,KEEP,apps/api,@kadarn/*,N/A,No,KEMS-003 §5,ADR-011,Build + tests
Web Application,apps/web,ADAPT,apps/web,@kadarn/*,Phase 5,No,KEMS-003 §5,ADR-034,Build
Evidence Core,packages/evidence-core,KEEP,packages/evidence-core,types;auth,N/A,No,KEMS-001 §2-6,ADR-011,E2E vertical slice
Types,packages/types,KEEP,packages/types,none,N/A,No,KEMS-003 §5,—,Tests
Auth,packages/auth,KEEP,packages/auth,types,N/A,No,KEMS-003 §5,ADR-002,Build
Evidence Discovery,packages/evidence-discovery,ADAPT,packages/evidence-pipeline,types;ai-layer,Phase 2,After consolidation,KEMS-002,ADR-013,Discovery tests
Institutional Knowledge,packages/institutional-knowledge,ADAPT,packages/evidence-pipeline,evidence-discovery,Phase 2,After consolidation,KEMS-002,ADR-013,Pipeline tests
Document Intake,packages/document-intake,ADAPT,packages/evidence-pipeline,types,Phase 2,After consolidation,KEMS-002,ADR-014,Connector tests
Evidence Lineage,packages/evidence-lineage,CONSOLIDATE,packages/evidence-core,evidence-core,Phase 2,After consolidation,KEMS-004,ADR-014,Lineage tests
Evidence Validation,packages/evidence-validation,CONSOLIDATE,packages/evidence-core,types,Phase 2,After consolidation,KEMS-001 §5,—,Validation tests
Delivery Domain,packages/delivery-domain,ADAPT,packages/passport-engine,types,Phase 3,After consolidation,KEMS-007,ADR-015,Delivery tests
Published View,packages/published-view,ADAPT,packages/passport-engine,delivery-domain,Phase 3,After consolidation,KEMS-007,ADR-015,View tests
Readiness Engine,packages/readiness-engine,ADAPT,packages/readiness-engine,types,Phase 3,No,KEMS-003 §6,ADR-010,Readiness tests
Sponsor Intelligence,packages/sponsor-intelligence,POSTPONE,packages/sponsor-intelligence,types,Post-MVP,Post-MVP,KEMS-003 §7,—,None
Workflow Engine,packages/workflow-engine,ADAPT,packages/workflow-engine,domain-events,Phase 4,No,KEMS-003 §5,ADR-017,Workflow tests
Policy Engine,packages/policy-engine,ADAPT,packages/policy-engine,types,Phase 4,No,KEMS-003 §5,ADR-010,Policy tests
Trust Engine,packages/trust-engine,ADAPT,packages/evidence-core (decay),types,Phase 4,After consolidation,KEMS-001 §6,ADR-011,Trust tests
Provenance,packages/provenance,CONSOLIDATE,packages/provenance (unified),types,Phase 2,After consolidation,KEMS-004,ADR-014,Provenance tests
Provenance Graph,packages/provenance-graph,CONSOLIDATE,packages/provenance (unified),types,Phase 2,After consolidation,KEMS-004,ADR-014,Graph tests
Graph Query,packages/graph-query,CONSOLIDATE,packages/published-view,types,Phase 3,After consolidation,—,ADR-016,Query tests
Knowledge Engine,packages/knowledge-engine,CONSOLIDATE,packages/published-view,types,Phase 3,After consolidation,KEMS-007,ADR-015,Knowledge tests
Matching Engine,packages/matching-engine,REPLACE,(no destination),types,Phase 3,Yes,None,ADR-018,None
Fulfillment Engine,packages/fulfillment-engine,REPLACE,(no destination),types,Phase 3,Yes,None,ADR-019,None
Financial Engine,packages/financial-engine,REPLACE,(no destination),types,Phase 3,Yes,None,ADR-020,None
